timestamp,location,latitude,longitude,temperature,humidity,pressure,wind_speed,wind_direction,rainfall,cloud_cover,visibility,solar_radiation,boundary_layer_height,data_source,data_quality
2026-08-25 09:00:00,Bengaluru Urban,12.9716,77.5946,22.9,73,913.6,3.7,235.9,0.0,42,9.0,601.0,1199.0,DEMO,SIMULATED
2026-08-25 10:00:00,Bengaluru Urban,12.9716,77.5946,24.8,61,913.3,3.9,253.4,0.0,42,8.7,736.1,1406.0,DEMO,SIMULATED
2026-08-25 11:00:00,Bengaluru Urban,12.9716,77.5946,26.3,58,913.1,4.1,255.5,0.0,84,8.7,821.0,1536.0,DEMO,SIMULATED
2026-08-25 12:00:00,Bengaluru Urban,12.9716,77.5946,27.5,56,913.0,4.3,227.0,0.0,75,8.6,850.0,1580.0,DEMO,SIMULATED
2026-08-25 13:00:00,Bengaluru Urban,12.9716,77.5946,28.2,52,913.1,4.3,235.3,0.0,53,8.5,821.0,1536.0,DEMO,SIMULATED
2026-08-25 14:00:00,Bengaluru Urban,12.9716,77.5946,28.5,48,913.3,3.8,247.4,0.0,41,8.5,736.1,1406.0,DEMO,SIMULATED
2026-08-25 15:00:00,Bengaluru Urban,12.9716,77.5946,28.2,51,913.6,3.4,250.2,0.0,69,8.5,601.0,1199.0,DEMO,SIMULATED
2026-08-25 16:00:00,Bengaluru Urban,12.9716,77.5946,27.5,54,914.0,2.7,250.2,0.0,63,8.6,425.0,930.0,DEMO,SIMULATED
2026-08-25 17:00:00,Bengaluru Urban,12.9716,77.5946,26.3,59,914.5,2.3,215.1,0.0,64,8.7,220.0,616.0,DEMO,SIMULATED
2026-08-25 18:00:00,Bengaluru Urban,12.9716,77.5946,24.8,66,915.0,1.4,216.6,1.4,57,8.8,0.0,280.0,DEMO,SIMULATED
2026-08-25 19:00:00,Bengaluru Urban,12.9716,77.5946,22.9,72,915.5,1.6,243.8,0.0,83,8.9,0.0,225.0,DEMO,SIMULATED
2026-08-25 20:00:00,Bengaluru Urban,12.9716,77.5946,21.0,80,916.0,1.6,217.7,0.0,83,9.1,0.0,242.0,DEMO,SIMULATED
2026-08-25 21:00:00,Bengaluru Urban,12.9716,77.5946,19.1,83,916.4,1.4,238.3,0.0,42,9.2,0.0,242.0,DEMO,SIMULATED
2026-08-25 22:00:00,Bengaluru Urban,12.9716,77.5946,17.2,90,916.7,1.5,218.4,0.0,85,7.3,0.0,266.0,DEMO,SIMULATED
2026-08-25 23:00:00,Bengaluru Urban,12.9716,77.5946,15.7,95,916.9,1.4,242.0,0.0,81,7.4,0.0,249.0,DEMO,SIMULATED
2026-08-26 00:00:00,Bengaluru Urban,12.9716,77.5946,14.5,95,917.0,1.5,263.0,0.0,53,7.4,0.0,265.0,DEMO,SIMULATED
2026-08-26 01:00:00,Bengaluru Urban,12.9716,77.5946,13.8,95,916.9,1.4,259.9,0.0,72,7.4,0.0,261.0,DEMO,SIMULATED
2026-08-26 02:00:00,Bengaluru Urban,12.9716,77.5946,13.5,95,916.7,1.2,232.3,0.0,71,7.4,0.0,250.0,DEMO,SIMULATED
2026-08-26 03:00:00,Bengaluru Urban,12.9716,77.5946,13.8,95,916.4,1.5,241.6,0.0,74,7.4,0.0,274.0,DEMO,SIMULATED
2026-08-26 04:00:00,Bengaluru Urban,12.9716,77.5946,14.5,95,916.0,1.4,248.7,0.0,84,7.4,0.0,269.0,DEMO,SIMULATED
2026-08-26 05:00:00,Bengaluru Urban,12.9716,77.5946,15.7,95,915.5,1.2,259.6,0.0,69,7.4,0.0,225.0,DEMO,SIMULATED
2026-08-26 06:00:00,Bengaluru Urban,12.9716,77.5946,17.2,91,915.0,1.3,262.9,0.0,44,7.3,0,280.0,DEMO,SIMULATED
2026-08-26 07:00:00,Bengaluru Urban,12.9716,77.5946,19.1,83,914.5,2.1,249.9,0.0,71,9.2,220.0,616.0,DEMO,SIMULATED
2026-08-26 08:00:00,Bengaluru Urban,12.9716,77.5946,21.0,76,914.0,2.7,262.6,0.0,41,9.0,425.0,930.0,DEMO,SIMULATED
2026-08-26 09:00:00,Bengaluru Urban,12.9716,77.5946,22.9,70,913.6,3.8,242.1,0.0,48,8.9,601.0,1199.0,DEMO,SIMULATED
2026-08-26 10:00:00,Bengaluru Urban,12.9716,77.5946,24.8,64,913.3,3.9,251.9,0.0,41,8.8,736.1,1406.0,DEMO,SIMULATED
2026-08-26 11:00:00,Bengaluru Urban,12.9716,77.5946,26.3,57,913.1,3.9,258.6,0.0,54,8.6,821.0,1536.0,DEMO,SIMULATED
2026-08-26 12:00:00,Bengaluru Urban,12.9716,77.5946,27.5,56,913.0,4.3,231.8,0.0,77,8.6,850.0,1580.0,DEMO,SIMULATED
2026-08-26 13:00:00,Bengaluru Urban,12.9716,77.5946,28.2,50,913.1,4.3,231.3,0.0,77,8.5,821.0,1536.0,DEMO,SIMULATED
2026-08-26 14:00:00,Bengaluru Urban,12.9716,77.5946,28.5,51,913.3,3.9,242.4,4.2,59,8.5,736.1,1406.0,DEMO,SIMULATED
2026-08-26 15:00:00,Bengaluru Urban,12.9716,77.5946,28.2,51,913.6,3.7,230.3,0.0,54,8.5,601.0,1199.0,DEMO,SIMULATED
2026-08-26 16:00:00,Bengaluru Urban,12.9716,77.5946,27.5,54,914.0,3.2,253.5,0.0,49,8.6,425.0,930.0,DEMO,SIMULATED
2026-08-26 17:00:00,Bengaluru Urban,12.9716,77.5946,26.3,57,914.5,2.2,223.3,0.0,85,8.6,220.0,616.0,DEMO,SIMULATED
2026-08-26 18:00:00,Bengaluru Urban,12.9716,77.5946,24.8,64,915.0,1.3,223.8,0.0,50,8.8,0.0,280.0,DEMO,SIMULATED
2026-08-26 19:00:00,Bengaluru Urban,12.9716,77.5946,22.9,69,915.5,1.2,230.8,0.0,68,8.9,0.0,236.0,DEMO,SIMULATED
2026-08-26 20:00:00,Bengaluru Urban,12.9716,77.5946,21.0,76,916.0,1.5,216.7,0.0,60,9.0,0.0,279.0,DEMO,SIMULATED
2026-08-26 21:00:00,Bengaluru Urban,12.9716,77.5946,19.1,83,916.4,1.5,263.8,0.0,74,9.2,0.0,238.0,DEMO,SIMULATED
2026-08-26 22:00:00,Bengaluru Urban,12.9716,77.5946,17.2,95,916.7,1.4,240.0,0.0,49,7.4,0.0,277.0,DEMO,SIMULATED
2026-08-26 23:00:00,Bengaluru Urban,12.9716,77.5946,15.7,95,916.9,1.3,263.5,0.0,74,7.4,0.0,279.0,DEMO,SIMULATED
2026-08-27 00:00:00,Bengaluru Urban,12.9716,77.5946,14.5,95,917.0,1.6,238.7,0.0,58,7.4,0.0,278.0,DEMO,SIMULATED
2026-08-27 01:00:00,Bengaluru Urban,12.9716,77.5946,13.8,95,916.9,1.8,248.3,0.0,76,7.4,0.0,264.0,DEMO,SIMULATED
2026-08-27 02:00:00,Bengaluru Urban,12.9716,77.5946,13.5,95,916.7,1.4,220.6,0.0,70,7.4,0.0,274.0,DEMO,SIMULATED
2026-08-27 03:00:00,Bengaluru Urban,12.9716,77.5946,13.8,95,916.4,1.5,230.4,0.0,65,7.4,0.0,257.0,DEMO,SIMULATED
2026-08-27 04:00:00,Bengaluru Urban,12.9716,77.5946,14.5,95,916.0,1.4,231.3,0.0,78,7.4,0.0,258.0,DEMO,SIMULATED
2026-08-27 05:00:00,Bengaluru Urban,12.9716,77.5946,15.7,95,915.5,1.3,261.8,0.0,57,7.4,0.0,232.0,DEMO,SIMULATED
2026-08-27 06:00:00,Bengaluru Urban,12.9716,77.5946,17.2,90,915.0,1.7,248.9,0.0,45,7.3,0,280.0,DEMO,SIMULATED
2026-08-27 07:00:00,Bengaluru Urban,12.9716,77.5946,19.1,88,914.5,2.2,239.5,0.0,78,9.3,220.0,616.0,DEMO,SIMULATED
2026-08-27 08:00:00,Bengaluru Urban,12.9716,77.5946,21.0,79,914.0,3.2,260.4,0.0,63,9.1,425.0,930.0,DEMO,SIMULATED
2026-08-27 09:00:00,Bengaluru Urban,12.9716,77.5946,22.9,70,913.6,3.6,236.4,0.0,64,8.9,601.0,1199.0,DEMO,SIMULATED
2026-08-27 10:00:00,Bengaluru Urban,12.9716,77.5946,24.8,63,913.3,3.8,232.6,0.0,68,8.8,736.1,1406.0,DEMO,SIMULATED
2026-08-27 11:00:00,Bengaluru Urban,12.9716,77.5946,26.3,60,913.1,4.0,251.4,0.0,68,8.7,821.0,1536.0,DEMO,SIMULATED
2026-08-27 12:00:00,Bengaluru Urban,12.9716,77.5946,27.5,55,913.0,4.2,237.1,0.0,50,8.6,850.0,1580.0,DEMO,SIMULATED
2026-08-27 13:00:00,Bengaluru Urban,12.9716,77.5946,28.2,53,913.1,4.5,236.2,0.0,66,8.6,821.0,1536.0,DEMO,SIMULATED
2026-08-27 14:00:00,Bengaluru Urban,12.9716,77.5946,28.5,48,913.3,4.0,219.3,0.0,59,8.5,736.1,1406.0,DEMO,SIMULATED
2026-08-27 15:00:00,Bengaluru Urban,12.9716,77.5946,28.2,51,913.6,3.7,264.3,0.0,77,8.5,601.0,1199.0,DEMO,SIMULATED
2026-08-27 16:00:00,Bengaluru Urban,12.9716,77.5946,27.5,55,914.0,2.7,235.5,0.0,66,8.6,425.0,930.0,DEMO,SIMULATED
2026-08-27 17:00:00,Bengaluru Urban,12.9716,77.5946,26.3,56,914.5,2.2,243.4,0.0,52,8.6,220.0,616.0,DEMO,SIMULATED
2026-08-27 18:00:00,Bengaluru Urban,12.9716,77.5946,24.8,62,915.0,1.4,242.7,0.0,59,8.7,0.0,280.0,DEMO,SIMULATED
2026-08-27 19:00:00,Bengaluru Urban,12.9716,77.5946,22.9,73,915.5,1.4,243.0,4.2,54,9.0,0.0,222.0,DEMO,SIMULATED
2026-08-27 20:00:00,Bengaluru Urban,12.9716,77.5946,21.0,75,916.0,1.4,262.8,0.0,80,9.0,0.0,248.0,DEMO,SIMULATED
2026-08-27 21:00:00,Bengaluru Urban,12.9716,77.5946,19.1,86,916.4,1.7,235.9,0.0,71,9.2,0.0,274.0,DEMO,SIMULATED
